n,history[n],history[n] + y,history[n] + y + y * history,history[n:5],history[n:5] + y,history[n:5] + y + y * history
LSTM,,,,,,
1,,0.05941,,,,
5,0.04223,0.01510,0.04332,0.08122,,
7,,0.01124,,,,
10,,0.00902,,,,
12,,0.00915,,,,
15,,0.00924,,,,
20,,0.00932,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LSTM (1/err),,,,,,
1,#DIV/0!,16.83,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,23.68,66.23,23.08,12.31,#DIV/0!,#DIV/0!
7,#DIV/0!,88.94,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10,#DIV/0!,110.92,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,#DIV/0!,109.26,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,#DIV/0!,108.28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20,#DIV/0!,107.24,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,
SVR (RBF),,,,,,
n,history[n],history[n] + y,history[n] + y + y * history,history[n:5],history[n:5] + y,history[n:5] + y + y * history
1,0.01213,0.01263,0.01267,0.01222,,
5,0.01142,0.01141,0.01138,0.01136,,
7,0.01106,0.01105,0.01104,0.01103,,
10,0.01049,0.01049,0.01048,0.01048,,
12,0.01048,0.01048,0.01048,0.01048,,
15,0.01011,0.01011,0.01011,0.01011,,
20,0.00889,0.00889,0.00889,0.00889,,
,,,,,,
SVR (Linear),,,,,,
n,history[n],history[n] + y,history[n] + y + y * history,history[n:5],history[n:5] + y,history[n:5] + y + y * history
1,0.01033,0.01003,0.01038,0.02261,,
5,0.01061,0.01044,0.00974,0.01006,,
7,0.01067,0.01058,0.00985,0.01002,,
10,0.01025,0.01020,0.00989,0.00985,,
12,0.01031,0.01026,0.00990,0.00990,,
15,0.00983,0.00982,0.00968,0.00967,,
20,0.00876,0.00876,0.00875,0.00875,,
,,,,,,
"SVR (Polynomial, n = 3)",,,,,,
n,history[n],history[n] + y,history[n] + y + y * history,history[n:5],history[n:5] + y,history[n:5] + y + y * history
1,32254350.15900,187498158.86804,424876765153.80600,0.00975,,
5,0.00945,0.00945,0.00945,0.00943,,
7,0.00945,0.00944,0.00944,0.00943,,
10,0.00945,0.00945,0.00945,0.00943,,
12,0.00946,0.00945,0.00945,0.00944,,
15,0.00946,0.00946,0.00946,0.00945,,
20,0.00873,0.00873,0.00873,0.00873,,
,,,,,,
"SVR (Polynomial, n = 2)",,,,,,
n,history[n],history[n] + y,history[n] + y + y * history,history[n:5],history[n:5] + y,history[n:5] + y + y * history
1,24199.58331,,,,,
5,0.00954,,,,,
7,0.00957,,,,,
10,0.00955,,,,,
12,0.00957,,,,,
15,0.00952,,,,,
20,0.00874,,,,,
